,name,template,physical_parent,date,time,path,level,Unit_Name,Subunit_Src_Sheet,Subunit_Name,comment
262,m2iosf_iitcpar,m2iosf_iitcpar,scf_iocoh,2018-12-11,01:12:46.411255000,/p/hdk/archive/sdg74/noa/m2iosf_iitcpar/apr_noa/ICXSPXCCB0_PDX_VER_22/apr/outputs/m2iosf_iitcpar.apr_final.vg.gz,4,scf_iocoh,F_m2iosf_iitcpar,m2iosf_iitcpar,No Subcell
263,m2iosf_iommupar,m2iosf_iommupar,scf_iocoh,2019-01-11,15:50:54.324870000,/p/hdk/archive/sdg74/noa/m2iosf_iommupar/apr_noa/SNRB0_PDX_VER_7/apr/outputs/m2iosf_iommupar.apr_final.vg.gz,4,scf_iocoh,F_m2iosf_iommupar,m2iosf_iommupar,No Subcell
264,m2iosf_iotcpar,m2iosf_iotcpar,scf_iocoh,2019-01-04,13:43:07.232632000,/p/hdk/archive/sdg74/noa/m2iosf_iotcpar/apr_noa/ICXSPXCCB0_PDX_VER_14/apr/outputs/m2iosf_iotcpar.apr_final.vg.gz,4,scf_iocoh,F_m2iosf_iotcpar,m2iosf_iotcpar,No Subcell
265,m2iosf_irppar,m2iosf_irppar,scf_iocoh,2018-11-05,02:11:23.379403000,/p/hdk/archive/sdg74/noa/m2iosf_irppar/apr_noa/SNRB0_PDX_VER_3/apr/outputs/m2iosf_irppar.apr_final.vg.gz,4,scf_iocoh,F_m2iosf_irppar,m2iosf_irppar,No Subcell
266,m2iosf_m2pciepar,m2iosf_m2pciepar,scf_iocoh,2018-11-07,03:44:29.388915000,/p/hdk/archive/sdg74/noa/m2iosf_m2pciepar/apr_noa/SNRA0_PDX_VER_108/apr/outputs/m2iosf_m2pciepar.apr_final.vg.gz,4,scf_iocoh,F_m2iosf_m2pciepar,m2iosf_m2pciepar,No Subcell
267,m2iosf_miscpar,m2iosf_miscpar_iocoh,scf_iocoh,2017-04-25,14:18:04.945446000,/p/hdk/archive/sdg74/noa/m2iosf_miscpar_iocoh/apr_noa/KNHA0_PDX_VER_20/apr/outputs/m2iosf_miscpar_iocoh.apr_final.vg.gz,4,scf_iocoh,F_m2iosf_miscpar_iocoh,m2iosf_miscpar_iocoh,No Subcell
90,,,sfp,,,,4,sfp,,,
91,cha_sfsprstcvbnkx11s19c,cha_sfsprstcvbnkx11s19c,sfp,NOT FOUND,NOT FOUND,NOT FOUND,4,sfp,F_cha_sfsprstcvbnkx11s19c,cha_sfsprstcvbnkx11s19c,No Subcell
92,cha_sfsprtagbnk11s35t,cha_sfsprtagbnk11s35t,sfp,NOT FOUND,NOT FOUND,NOT FOUND,4,sfp,F_cha_sfsprtagbnk11s35t,cha_sfsprtagbnk11s35t,No Subcell
181,,,sprdino,,,,4,sprdino,,,
